,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
5016,high,yes,urban,1988,female,nO,26_39,I have never heard of it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working,oracle database administrator oracle dba,United Kingdom,GB
5017,medium,yes,urban,63 years old,male,YES,40_65,I understand it fully,I would vote against it,‰Û_ work less,It reduces anxiety about financing basic needs,It is impossible to finance,database designer,United Kingdom,GB
5018,medium,no,urban,1999,male,nO,juvenile,I understand it fully,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state,,United Kingdom,GB
5019,medium,yes,Country,40 years old,male,yES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance,automatic data processing systems security specialist adp systems security,United Kingdom,GB
5020,medium,no,city,33 years old,male,YES,26_39,I know something about it,I would not vote,None of the above,None of the above,It might encourage people to stop working | It increases dependence on the state,,United Kingdom,GB
5021,low,yes,urban,47 years old,male,yES,40_65,I understand it fully,I would vote for it,‰Û_ work less,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,data warehousing engineer,United Kingdom,GB
5022,medium,yes,rural,47 years old,Male,yES,40_65,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,None of the above,database management system specialist dbms specialist,United Kingdom,GB
5023,high,yes,urban,1994,male,NO,14_25,I know something about it,I would vote for it,‰Û_ do more volunteering work,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,computer or data processing systems consultant,United Kingdom,GB
5024,low,yes,city,51 years old,female,YES,40_65,I know something about it,I would probably vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,It might encourage people to stop working,data security analyst,United Kingdom,GB
5025,high,yes,urban,1989,female,YES,26_39,I have never heard of it,I would vote for it,‰Û_ work as a freelancer,None of the above,None of the above,clinical data specialist,United Kingdom,GB
5026,medium,no,Country,41 years old,female,NO,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It increases dependence on the state,,United Kingdom,GB
5027,low,no,Non-Rural,55 years old,FeMale,nO,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,,United Kingdom,GB
5028,high,yes,rural,1989,female,NO,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state,database management system specialist dbms specialist,United Kingdom,GB
5029,low,yes,Country,38 years old,Male,yES,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state,data communications analyst,United Kingdom,GB
5030,high,no,Non-Rural,1998,female,nO,14_25,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | It is against the principle of linking merit and reward | It might encourage people to stop working,,United Kingdom,GB
5031,high,yes,rural,45 years old,FeMale,nO,40_65,I understand it fully,I would probably vote for it,None of the above,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,database management system specialist dbms specialist,United Kingdom,GB
5032,high,yes,urban,1989,female,nO,26_39,I understand it fully,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,data processor,United Kingdom,GB
5033,medium,yes,rural,45 years old,Male,yES,40_65,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,databases computer consultant,United Kingdom,GB
5034,,no,Country,41 years old,female,YES,40_65,I understand it fully,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5035,low,yes,urban,1998,female,NO,14_25,I have heard just a little about it,I would probably vote for it,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,data administrator,United Kingdom,GB
5036,medium,yes,urban,47 years old,female,NO,40_65,I have heard just a little about it,I would probably vote against it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,database engineer,United Kingdom,GB
5037,high,no,city,53 years old,male,nO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working,,United Kingdom,GB
5038,low,no,city,2000,female,NO,juvenile,I have heard just a little about it,I would vote for it,‰Û_ look for a different job,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working,,United Kingdom,GB
5039,high,yes,city,34 years old,male,NO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,None of the above,database tester,United Kingdom,GB
5040,,yes,urban,55 years old,male,NO,40_65,I have heard just a little about it,I would vote for it,‰Û_ work as a freelancer,None of the above,None of the above,database security expert,United Kingdom,GB
5041,,no,countryside,34 years old,female,YES,26_39,I have never heard of it,I would not vote,‰Û_ spend more time with my family,None of the above,None of the above,,United Kingdom,GB
5042,,no,urban,35 years old,female,yES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It increases dependence on the state,,United Kingdom,GB
5043,low,no,urban,2000,FeMale,nO,14_25,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5044,low,no,countryside,58 years old,female,NO,40_65,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,,United Kingdom,GB
5045,high,no,city,64 years old,male,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,None of the above,,United Kingdom,GB
5046,medium,yes,city,46 years old,male,YES,40_65,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,database modeler,United Kingdom,GB
5047,medium,no,rural,56 years old,female,YES,40_65,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,,United Kingdom,GB
5048,low,yes,urban,40 years old,male,YES,40_65,I have never heard of it,I would vote for it,‰Û_ spend more time with my family,None of the above,None of the above,automatic data processing systems security specialist adp systems security,United Kingdom,GB
5049,medium,no,city,47 years old,female,yES,40_65,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,United Kingdom,GB
5050,high,no,urban,1987,female,nO,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It might encourage people to stop working,,United Kingdom,GB
5051,medium,no,countryside,1999,female,nO,14_25,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It is impossible to finance | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,,United Kingdom,GB
5052,medium,yes,Country,1994,female,NO,14_25,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,geographic information systems data administrator gis data administrator,United Kingdom,GB
5053,high,yes,Non-Rural,33 years old,female,nO,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,geographic information systems data specialist gis data specialist,United Kingdom,GB
5054,high,yes,city,33 years old,male,yES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,naval tactical data systemcombat information center watch officer general,United Kingdom,GB
5055,medium,no,rural,53 years old,female,YES,40_65,I know something about it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5056,low,yes,city,1993,male,YES,14_25,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,data manager,United Kingdom,GB
5057,high,yes,urban,1988,male,nO,26_39,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward,database software technician,United Kingdom,GB
5058,low,no,countryside,65 years old,Fem,yES,40_65,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering",It might encourage people to stop working | It is impossible to finance,,United Kingdom,GB
5059,medium,no,city,1998,female,yES,14_25,I have heard just a little about it,I would probably vote for it,None of the above,None of the above,None of the above,,United Kingdom,GB
5060,high,yes,urban,1988,male,YES,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,database marketing analyst,United Kingdom,GB
5061,low,no,urban,62 years old,male,yES,40_65,I know something about it,I would not vote,‰Û_ do more volunteering work,None of the above,None of the above,,United Kingdom,GB
5062,medium,no,Country,37 years old,male,YES,26_39,I have heard just a little about it,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state,,United Kingdom,GB
5063,high,no,city,63 years old,FeMale,yES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,United Kingdom,GB
5064,low,no,urban,37 years old,female,yES,26_39,I understand it fully,I would probably vote for it,‰Û_ gain additional skills,None of the above,Only the people who need it most should get something from the state,,United Kingdom,GB
5065,high,yes,Non-Rural,41 years old,female,YES,40_65,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data entry associate,United Kingdom,GB
5066,medium,yes,urban,38 years old,FeMale,NO,26_39,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity,It increases dependence on the state,data miner,United Kingdom,GB
5067,medium,no,urban,57 years old,female,yES,40_65,I know something about it,I would probably vote for it,None of the above,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,United Kingdom,GB
5068,high,yes,rural,1986,male,YES,26_39,I have heard just a little about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,None of the above,flight test data acquisition technician,United Kingdom,GB
5069,high,no,urban,49 years old,female,yES,40_65,I understand it fully,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,None of the above,,United Kingdom,GB
5070,high,no,city,42 years old,male,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,United Kingdom,GB
5071,medium,no,urban,48 years old,male,yES,40_65,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It might encourage people to stop working,,United Kingdom,GB
5072,,no,urban,40 years old,Fem,nO,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance,,United Kingdom,GB
5073,medium,no,rural,1999,female,NO,14_25,I know something about it,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance,,United Kingdom,GB
5074,low,yes,urban,51 years old,female,NO,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state,head of information systems and data processing,United Kingdom,GB
5075,medium,yes,urban,43 years old,male,YES,40_65,I understand it fully,I would probably vote against it,‰Û_ look for a different job,None of the above,Foreigners might come to my country and take advantage of the benefit,data warehouse architect,United Kingdom,GB
5076,high,yes,city,1986,FeMale,NO,26_39,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It increases dependence on the state,data management associate,United Kingdom,GB
5077,medium,no,rural,31 years old,female,YES,26_39,I have heard just a little about it,I would probably vote for it,None of the above,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,,United Kingdom,GB
5078,high,yes,Non-Rural,47 years old,male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,automatic data processing planner,United Kingdom,GB
5079,high,no,urban,47 years old,male,yES,40_65,I know something about it,I would vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state,,United Kingdom,GB
5080,high,yes,city,39 years old,male,yES,26_39,I understand it fully,I would vote for it,‰Û_ stop working,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,database specialist,United Kingdom,GB
5081,high,yes,Non-Rural,38 years old,Male,YES,26_39,I understand it fully,I would vote for it,‰Û_ stop working,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | Only the people who need it most should get something from the state,database coordinator,United Kingdom,GB
5082,low,no,rural,35 years old,Fem,YES,26_39,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,United Kingdom,GB
5083,,yes,city,47 years old,male,NO,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,database development and administration project manager,United Kingdom,GB
5084,high,yes,Country,48 years old,FeMale,nO,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It is impossible to finance,data processing auditor,United Kingdom,GB
5085,low,no,urban,1995,FeMale,yES,juvenile,I know something about it,I would probably vote for it,‰Û_ work less,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
5086,high,yes,Non-Rural,34 years old,male,yES,26_39,I know something about it,I would probably vote against it,None of the above,It encourages financial independence and self-responsibility,It is impossible to finance,data warehouse architect,United Kingdom,GB
5087,medium,yes,Country,1986,male,yES,26_39,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It creates more equality of opportunity,Only the people who need it most should get something from the state,electronic data processing auditor edp auditor,United Kingdom,GB
5088,low,no,rural,49 years old,Fem,nO,40_65,I have heard just a little about it,I would not vote,‰Û_ look for a different job,None of the above,None of the above,,United Kingdom,GB
5089,medium,yes,city,62 years old,male,yES,40_65,I have heard just a little about it,I would not vote,‰Û_ work as a freelancer,None of the above,It might encourage people to stop working | It is impossible to finance,databases computer consultant,United Kingdom,GB
5090,high,yes,urban,31 years old,female,nO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,head of information systems and data processing,United Kingdom,GB
5091,medium,yes,Non-Rural,42 years old,Fem,yES,40_65,I know something about it,I would not vote,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit,data officer,United Kingdom,GB
5092,medium,no,Country,34 years old,male,YES,26_39,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It increases dependence on the state,,United Kingdom,GB
5093,low,no,urban,48 years old,female,nO,40_65,I understand it fully,I would vote for it,‰Û_ gain additional skills,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
5094,medium,no,city,1991,female,nO,14_25,I know something about it,I would not vote,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering,It is impossible to finance,,United Kingdom,GB
5095,medium,yes,Non-Rural,1987,male,yES,26_39,I know something about it,I would not vote,‰Û_ work as a freelancer,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state,electronic data processing auditor edp auditor,United Kingdom,GB
5096,high,yes,urban,1991,male,NO,14_25,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state,internet database specialist,United Kingdom,GB
5097,medium,no,city,1999,male,NO,14_25,I have heard just a little about it,I would probably vote for it,None of the above,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
5098,,no,urban,2002,male,nO,juvenile,I know something about it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5099,high,yes,countryside,1993,female,YES,14_25,I know something about it,I would probably vote for it,‰Û_ stop working,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward,data warehousing manager,United Kingdom,GB
5100,low,no,Non-Rural,48 years old,male,NO,40_65,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5101,high,no,urban,50 years old,female,nO,40_65,I have never heard of it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,None of the above,,United Kingdom,GB
5102,medium,yes,Non-Rural,43 years old,Male,NO,40_65,I understand it fully,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,data operations director,United Kingdom,GB
5103,medium,yes,urban,44 years old,female,yES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,data operations director,United Kingdom,GB
5104,high,no,urban,48 years old,male,YES,40_65,I know something about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It increases dependence on the state,,United Kingdom,GB
5105,low,no,urban,1996,Male,NO,14_25,I have never heard of it,I would not vote,None of the above,None of the above,Only the people who need it most should get something from the state,,United Kingdom,GB
5106,high,yes,city,1989,female,nO,26_39,I understand it fully,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit,data communications software consultant,United Kingdom,GB
5107,,yes,city,36 years old,FeMale,nO,26_39,I have never heard of it,I would probably vote for it,‰Û_ do more volunteering work,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward,database security expert,United Kingdom,GB
5108,medium,no,Country,43 years old,FeMale,yES,40_65,I know something about it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5109,high,yes,city,42 years old,female,yES,40_65,I have never heard of it,I would not vote,‰Û_ work as a freelancer,None of the above,None of the above,data processing systems analyst,United Kingdom,GB
5110,low,no,urban,1998,FeMale,nO,14_25,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5111,low,no,city,53 years old,female,nO,40_65,I know something about it,I would not vote,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
5112,medium,no,urban,1988,female,NO,26_39,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,,United Kingdom,GB
5113,high,yes,countryside,40 years old,female,yES,40_65,I know something about it,I would probably vote for it,‰Û_ work less,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It is impossible to finance,database manager,United Kingdom,GB
5114,high,yes,urban,35 years old,male,NO,26_39,I understand it fully,I would probably vote against it,‰Û_ work less,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,database architect,United Kingdom,GB
5115,high,no,urban,47 years old,male,nO,40_65,I know something about it,I would vote for it,‰Û_ work as a freelancer,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | It increases dependence on the state,,United Kingdom,GB
5116,low,yes,city,44 years old,female,YES,40_65,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit,automatic data processing planner adp planner,United Kingdom,GB
5117,medium,yes,countryside,1988,Fem,YES,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data technician,United Kingdom,GB
5118,high,yes,urban,59 years old,Fem,YES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working,geographic information systems data administrator gis data administrator,United Kingdom,GB
5119,,yes,urban,1988,male,YES,26_39,I understand it fully,I would probably vote against it,‰Û_ work as a freelancer,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,data processing systems project planner,United Kingdom,GB
5120,medium,no,city,1996,Fem,NO,14_25,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility",None of the above,,United Kingdom,GB
5121,high,no,rural,1986,female,NO,26_39,I have heard just a little about it,I would not vote,None of the above,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state,,United Kingdom,GB
5122,high,yes,city,1990,FeMale,nO,26_39,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working | It increases dependence on the state,customer data technician,United Kingdom,GB
5123,high,yes,city,59 years old,male,YES,40_65,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,"It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It increases dependence on the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,data processing consultant,United Kingdom,GB
5124,medium,yes,Country,34 years old,male,NO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It increases dependence on the state,automatic data processing systems security specialist adp systems security,United Kingdom,GB
5125,,no,urban,2001,male,nO,14_25,I know something about it,I would not vote,‰Û_ work less,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working,,United Kingdom,GB
5126,high,yes,Country,1988,female,yES,26_39,I know something about it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,database administration associate,United Kingdom,GB
5127,medium,yes,rural,49 years old,female,yES,40_65,I know something about it,I would vote for it,‰Û_ work as a freelancer,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,data entry operator,United Kingdom,GB
5128,low,yes,Non-Rural,41 years old,female,yES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,database designer,United Kingdom,GB
5129,low,no,urban,2001,male,nO,14_25,I have never heard of it,I would vote for it,‰Û_ spend more time with my family,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,,United Kingdom,GB
5130,medium,no,countryside,43 years old,Fem,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,United Kingdom,GB
5131,medium,no,Country,43 years old,FeMale,yES,40_65,I have heard just a little about it,I would vote for it,None of the above,It encourages financial independence and self-responsibility,None of the above,,United Kingdom,GB
5132,high,yes,rural,60 years old,Male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data warehouse architect,United Kingdom,GB
5133,low,no,Country,48 years old,Male,YES,40_65,I know something about it,I would vote for it,‰Û_ spend more time with my family,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
5134,high,yes,city,1986,FeMale,yES,26_39,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,None of the above,It is impossible to finance,gps field data collector global positioning system field data collector,United Kingdom,GB
5135,high,yes,city,40 years old,male,YES,40_65,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,database analyst,United Kingdom,GB
5136,,yes,rural,36 years old,female,YES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,geographic information systems data administrator gis data administrator,United Kingdom,GB
5137,medium,no,city,34 years old,male,nO,26_39,I have never heard of it,I would vote for it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working,,United Kingdom,GB
5138,low,no,countryside,58 years old,male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,United Kingdom,GB
